Linux 2.6.32-431.el6.i686 (bogon) 	06/09/2019 	_i686_	(24 CPU)

12:00:01 AM       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
12:10:01 AM    dev8-0      0.75      0.00     11.38     15.13      0.01     10.46      4.33      0.33
12:10:01 AM  dev253-0      1.42      0.00     11.38      8.00      0.02     14.49      2.29      0.33
12:10:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:10:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:20:01 AM    dev8-0      0.31      0.00      3.31     10.61      0.00     10.80      4.88      0.15
12:20:01 AM  dev253-0      0.41      0.00      3.31      8.00      0.00     10.71      3.68      0.15
12:20:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:20:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:30:01 AM    dev8-0      0.27      0.00      2.84     10.39      0.00     10.29      5.40      0.15
12:30:01 AM  dev253-0      0.36      0.00      2.84      8.00      0.00     10.38      4.15      0.15
12:30:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:30:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:40:01 AM    dev8-0      0.29      0.00      2.92     10.01      0.00      9.16      4.88      0.14
12:40:01 AM  dev253-0      0.37      0.00      2.92      8.00      0.00      9.27      3.90      0.14
12:40:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:40:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:50:01 AM    dev8-0      0.34      0.00      3.59     10.60      0.00      9.27      4.76      0.16
12:50:01 AM  dev253-0      0.45      0.00      3.59      8.00      0.00      9.21      3.59      0.16
12:50:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:50:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:01 AM    dev8-0      0.30      0.00      3.16     10.42      0.00     10.19      5.19      0.16
01:00:01 AM  dev253-0      0.40      0.00      3.16      8.00      0.00     10.57      3.98      0.16
01:00:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:10:01 AM    dev8-0      0.33      0.00      3.51     10.73      0.00      9.79      4.66      0.15
01:10:01 AM  dev253-0      0.44      0.00      3.51      8.00      0.00      9.89      3.47      0.15
01:10:01 AM  dev253-1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:10:01 AM  dev253-2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:20:01 AM    dev8-0      0.32      0.00      3.54     11.16      0.00      9.98      5.13      0.16
