Linux 2.6.32-431.el6.i686 (bogon) 	06/11/2019 	_i686_	(24 CPU)

12:00:01 AM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
12:10:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
12:10:01 AM  Auto_em1      0.09      0.02      0.02      0.00      0.00      0.00      0.08
12:10:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:20:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
12:20:01 AM  Auto_em1      0.06      0.01      0.01      0.00      0.00      0.00      0.05
12:20:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:30:01 AM        lo      0.32      0.32      0.02      0.02      0.00      0.00      0.00
12:30:01 AM  Auto_em1      0.09      0.06      0.02      0.01      0.00      0.00      0.05
12:30:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:40:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
12:40:01 AM  Auto_em1      0.06      0.01      0.01      0.00      0.00      0.00      0.05
12:40:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:50:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
12:50:01 AM  Auto_em1      0.06      0.01      0.01      0.00      0.00      0.00      0.05
12:50:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:01 AM        lo      0.32      0.32      0.02      0.02      0.00      0.00      0.00
01:00:01 AM  Auto_em1      0.09      0.04      0.02      0.00      0.00      0.00      0.05
01:00:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:10:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
01:10:01 AM  Auto_em1      0.06      0.01      0.01      0.00      0.00      0.00      0.05
01:10:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:20:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
01:20:01 AM  Auto_em1      0.06      0.01      0.01      0.00      0.00      0.00      0.05
01:20:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:30:01 AM        lo      0.36      0.36      0.03      0.03      0.00      0.00      0.00
01:30:01 AM  Auto_em1      0.09      0.06      0.02      0.01      0.00      0.00      0.05
01:30:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:40:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
01:40:01 AM  Auto_em1      0.06      0.00      0.01      0.00      0.00      0.00      0.05
01:40:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
01:50:01 AM  Auto_em1      0.06      0.01      0.01      0.00      0.00      0.00      0.05
01:50:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:00:01 AM        lo      0.32      0.32      0.02      0.02      0.00      0.00      0.00
02:00:01 AM  Auto_em1      0.09      0.05      0.02      0.00      0.00      0.00      0.05
02:00:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:10:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
02:10:01 AM  Auto_em1      0.07      0.02      0.01      0.00      0.00      0.00      0.05
02:10:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:20:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
02:20:01 AM  Auto_em1      0.05      0.00      0.01      0.00      0.00      0.00      0.05
02:20:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:30:01 AM        lo      1.66      1.66      0.20      0.20      0.00      0.00      0.00
02:30:01 AM  Auto_em1      0.17      0.14      0.05      0.04      0.00      0.00      0.05
02:30:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:40:01 AM        lo      0.30      0.30      0.02      0.02      0.00      0.00      0.00
02:40:01 AM  Auto_em1      0.06      0.01      0.01      0.00      0.00      0.00      0.05
02:40:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:50:01 AM        lo      0.30      0.30      0.02      0.02      0.00      0.00      0.00
02:50:01 AM  Auto_em1      0.10      0.04      0.04      0.00      0.00      0.00      0.05
02:50:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:00:01 AM        lo      0.37      0.37      0.03      0.03      0.00      0.00      0.00
03:00:01 AM  Auto_em1      0.08      0.04      0.02      0.00      0.00      0.00      0.05
03:00:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:10:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
03:10:01 AM  Auto_em1      0.06      0.01      0.01      0.00      0.00      0.00      0.05
03:10:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:20:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
03:20:01 AM  Auto_em1      0.06      0.01      0.01      0.00      0.00      0.00      0.05
03:20:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:30:01 AM        lo      0.32      0.32      0.02      0.02      0.00      0.00      0.00
03:30:01 AM  Auto_em1      0.09      0.05      0.02      0.00      0.00      0.00      0.05
03:30:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
03:40:01 AM  Auto_em1      0.06      0.01      0.01      0.00      0.00      0.00      0.05
03:40:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
03:50:01 AM  Auto_em1      0.06      0.01      0.01      0.00      0.00      0.00      0.05
03:50:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:01 AM        lo      0.32      0.32      0.02      0.02      0.00      0.00      0.00
04:00:01 AM  Auto_em1      0.09      0.04      0.02      0.00      0.00      0.00      0.05
04:00:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:10:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
04:10:01 AM  Auto_em1      0.06      0.02      0.01      0.00      0.00      0.00      0.05
04:10:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:20:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
04:20:01 AM  Auto_em1      0.05      0.00      0.01      0.00      0.00      0.00      0.05
04:20:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:30:01 AM        lo      0.32      0.32      0.02      0.02      0.00      0.00      0.00
04:30:01 AM  Auto_em1      0.09      0.05      0.02      0.00      0.00      0.00      0.05
04:30:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:40:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
04:40:01 AM  Auto_em1      0.05      0.00      0.01      0.00      0.00      0.00      0.05
04:40:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:50:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
04:50:01 AM  Auto_em1      0.06      0.02      0.01      0.00      0.00      0.00      0.05
04:50:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:00:01 AM        lo      0.32      0.32      0.02      0.02      0.00      0.00      0.00
05:00:01 AM  Auto_em1      0.08      0.03      0.02      0.00      0.00      0.00      0.05
05:00:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:10:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
