Linux 2.6.32-431.el6.i686 (bogon) 	06/12/2019 	_i686_	(24 CPU)

12:00:01 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:10:01 AM     all      0.11      0.00      0.04      0.01      0.00     99.84
12:20:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
12:30:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
12:40:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.82
12:50:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
01:00:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.82
01:10:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
01:20:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
01:30:01 AM     all      0.12      0.00      0.04      0.00      0.00     99.83
01:40:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
01:50:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
02:00:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.81
02:10:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
02:20:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
02:30:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.82
02:40:02 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
02:50:01 AM     all      0.22      0.00      0.05      0.02      0.00     99.71
03:00:01 AM     all      0.06      0.00      0.04      0.01      0.00     99.89
03:10:01 AM     all      0.07      0.00      0.04      0.00      0.00     99.88
03:20:01 AM     all      0.14      0.01      0.05      0.00      0.00     99.81
03:30:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
03:40:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.82
03:50:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
04:00:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
04:10:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.82
04:20:01 AM     all      0.10      0.00      0.04      0.00      0.00     99.86
04:30:01 AM     all      0.05      0.00      0.04      0.00      0.00     99.90
04:40:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.82
04:50:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
05:00:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
05:10:01 AM     all      0.13      0.00      0.04      0.00      0.00     99.82
05:20:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
05:30:01 AM     all      0.08      0.00      0.05      0.00      0.00     99.86
05:40:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.82
05:50:01 AM     all      0.09      0.00      0.04      0.00      0.00     99.86
06:00:01 AM     all      0.05      0.00      0.04      0.00      0.00     99.90
06:10:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.81
06:20:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
06:30:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
06:40:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.81
06:50:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
07:00:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
07:10:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.81
07:20:01 AM     all      0.10      0.00      0.04      0.00      0.00     99.86
07:30:01 AM     all      0.05      0.00      0.04      0.00      0.00     99.90
07:40:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.81
07:50:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
08:00:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.81
08:10:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
08:20:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
08:30:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.81
08:40:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
08:50:01 AM     all      0.10      0.00      0.04      0.00      0.00     99.86
09:00:01 AM     all      0.11      0.00      0.04      0.01      0.00     99.84
09:10:01 AM     all      0.13      0.00      0.05      0.01      0.00     99.81
09:20:01 AM     all      0.41      0.00      0.09      0.08      0.00     99.43
09:30:01 AM     all      4.04      0.00      0.27      0.74      0.00     94.94
09:40:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.88
09:50:01 AM     all      0.26      0.00      0.05      0.01      0.00     99.68
10:00:01 AM     all      0.14      0.00      0.04      0.00      0.00     99.81
10:10:01 AM     all      0.10      0.00      0.05      0.01      0.00     99.84
10:20:01 AM     all      0.10      0.00      0.04      0.00      0.00     99.86
10:30:01 AM     all      0.11      0.00      0.04      0.01      0.00     99.84
10:40:01 AM     all      0.23      0.00      0.05      0.01      0.00     99.70
10:50:01 AM     all      0.18      0.00      0.05      0.01      0.00     99.76
11:00:01 AM     all      2.01      0.00      0.11      0.01      0.00     97.87
11:10:01 AM     all      0.33      0.00      0.05      0.04      0.00     99.57
11:20:01 AM     all      0.10      0.00      0.05      0.01      0.00     99.84
11:30:01 AM     all      0.96      0.00      0.07      0.01      0.00     98.96
11:40:01 AM     all      0.16      0.00      0.06      0.01      0.00     99.76
11:50:01 AM     all      0.08      0.00      0.04      0.00      0.00     99.87
12:00:01 PM     all      0.11      0.00      0.04      0.01      0.00     99.84
12:10:01 PM     all      0.07      0.00      0.04      0.01      0.00     99.88
12:20:01 PM     all      0.09      0.00      0.04      0.00      0.00     99.87
12:30:02 PM     all      0.09      0.00      0.04      0.00      0.00     99.86
12:40:01 PM     all      0.09      0.00      0.05      0.00      0.00     99.85
12:50:01 PM     all      0.09      0.00      0.04      0.00      0.00     99.87
01:00:01 PM     all      0.09      0.00      0.05      0.00      0.00     99.85
01:10:01 PM     all      0.18      0.00      0.04      0.00      0.00     99.77
01:20:01 PM     all      0.13      0.00      0.05      0.01      0.00     99.81
01:30:01 PM     all      0.15      0.00      0.06      0.02      0.00     99.77
01:40:01 PM     all      0.17      0.00      0.05      0.01      0.00     99.77
01:50:01 PM     all      0.17      0.00      0.05      0.01      0.00     99.77
02:00:01 PM     all      0.14      0.00      0.05      0.01      0.00     99.80
02:10:01 PM     all      0.49      0.00      0.07      0.01      0.00     99.43
02:20:01 PM     all      0.75      0.00      0.06      0.01      0.00     99.17
02:30:01 PM     all      0.06      0.00      0.05      0.01      0.00     99.89
02:40:01 PM     all      0.06      0.00      0.05      0.00      0.00     99.89
02:50:01 PM     all      0.06      0.00      0.04      0.01      0.00     99.89
03:00:01 PM     all      1.02      0.00      0.08      0.01      0.00     98.90
03:10:02 PM     all      0.12      0.00      0.05      0.01      0.00     99.82
03:20:01 PM     all      0.10      0.00      0.05      0.01      0.00     99.84
03:30:01 PM     all      0.10      0.00      0.05      0.01      0.00     99.84
03:40:01 PM     all      0.05      0.00      0.04      0.01      0.00     99.90
03:50:01 PM     all      0.06      0.00      0.05      0.01      0.00     99.88
04:00:01 PM     all      0.08      0.00      0.05      0.02      0.00     99.85
04:10:01 PM     all      0.09      0.00      0.05      0.02      0.00     99.85
04:20:01 PM     all      0.10      0.00      0.05      0.03      0.00     99.82
04:30:01 PM     all      0.09      0.00      0.05      0.02      0.00     99.85
04:40:01 PM     all      0.06      0.00      0.05      0.02      0.00     99.88
04:50:01 PM     all      0.09      0.00      0.05      0.02      0.00     99.84
05:00:01 PM     all      0.07      0.00      0.05      0.01      0.00     99.88
05:10:01 PM     all      0.10      0.00      0.05      0.02      0.00     99.83
05:20:01 PM     all      0.08      0.00      0.05      0.02      0.00     99.85
05:30:01 PM     all      1.01      0.00      0.06      0.01      0.00     98.91
05:40:01 PM     all      0.28      0.00      0.05      0.01      0.00     99.66
